1992; 1;1992.042; 198.3; 67.0;131.3;  12.9;  7.7; 10.8;  566;  -1;  -1;1
1992; 2;1992.124; 230.7; 98.8;131.9;  14.5;  9.2; 11.4;  590;  -1;  -1;1
1992; 3;1992.206; 151.0; 59.1; 91.9;   9.2;  6.0;  7.0;  537;  -1;  -1;1
1992; 4;1992.290; 142.2; 36.8;105.4;   9.5;  4.6;  8.2;  660;  -1;  -1;1
1992; 5;1992.373;  94.3; 29.8; 64.5;   7.7;  4.3;  6.5;  746;  -1;  -1;1
1992; 6;1992.456;  98.5; 66.0; 32.5;   6.6;  5.4;  3.7;  706;  -1;  -1;1
1992; 7;1992.540; 114.2; 54.2; 60.0;   7.7;  5.2;  6.0;  761;  -1;  -1;1
1992; 8;1992.624;  91.9; 46.5; 45.4;   6.7;  4.7;  4.6;  794;  -1;  -1;1
1992; 9;1992.708;  94.0; 34.1; 59.9;   5.5;  3.3;  4.4;  764;  -1;  -1;1
1992;10;1992.791; 133.4; 55.7; 77.7;   8.2;  5.3;  6.4;  623;  -1;  -1;1
1992;11;1992.874; 129.6; 31.5; 98.1;   8.2;  3.9;  7.3;  559;  -1;  -1;1
1992;12;1992.958; 122.0; 32.5; 89.5;   8.4;  4.2;  7.3;  539;  -1;  -1;1
1993; 1;1993.042;  81.4; 21.6; 59.8;   5.9;  3.4;  5.3;  583;  -1;  -1;1
1993; 2;1993.123; 127.8; 65.3; 62.5;   8.3;  6.1;  5.7;  551;  -1;  -1;1
1993; 3;1993.204; 102.4; 50.9; 51.5;   6.6;  4.7;  4.6;  739;  -1;  -1;1
1993; 4;1993.288;  94.4; 30.9; 63.5;   6.7;  3.9;  5.5;  719;  -1;  -1;1
1993; 5;1993.371;  78.8; 58.9; 19.9;   5.7;  4.9;  2.8;  752;  -1;  -1;1
1993; 6;1993.455;  69.6; 40.4; 29.2;   5.4;  4.1;  3.5;  706;  -1;  -1;1
1993; 7;1993.538;  80.4; 31.7; 48.7;   5.4;  3.3;  4.2;  699;  -1;  -1;1
1993; 8;1993.623;  62.5; 38.4; 24.1;   5.0;  4.1;  2.9;  809;  -1;  -1;1
1993; 9;1993.707;  31.2; 18.0; 13.2;   4.5;  3.7;  3.0;  709;  -1;  -1;1
1993;10;1993.790;  71.1; 29.5; 41.6;   5.5;  3.6;  4.2;  630;  -1;  -1;1
1993;11;1993.874;  48.2; 32.0; 16.2;   4.4;  3.3;  3.0;  551;  -1;  -1;1
1993;12;1993.958;  68.4; 38.6; 29.8;   5.9;  4.7;  3.8;  562;  -1;  -1;1
1994; 1;1994.042;  84.9; 64.5; 20.4;   6.6;  5.6;  3.5;  582;  -1;  -1;1
1994; 2;1994.123;  54.9; 39.8; 15.1;   4.8;  4.3;  2.2;  539;  -1;  -1;1
1994; 3;1994.204;  47.5; 18.4; 29.1;   4.1;  2.5;  3.3;  728;  -1;  -1;1
1994; 4;1994.288;  27.4; 22.1;  5.3;   3.9;  3.3;  1.9;  763;  -1;  -1;1
1994; 5;1994.371;  29.8; 21.6;  8.2;   4.1;  3.2;  2.6;  789;  -1;  -1;1
1994; 6;1994.455;  39.7; 14.0; 25.7;   5.0;  3.2;  3.9;  789;  -1;  -1;1
1994; 7;1994.538;  50.6; 19.9; 30.7;   4.3;  2.8;  3.3;  865;  -1;  -1;1
1994; 8;1994.623;  34.3; 11.3; 23.0;   3.2;  1.7;  2.8;  876;  -1;  -1;1
1994; 9;1994.707;  40.5; 12.4; 28.1;   4.1;  2.5;  3.3;  735;  -1;  -1;1
