1874-05;25.5;49.1;34.1;42.2;25.5;49.1;34.1;42.2;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1874-06;44.8;19.0;34.1;42.2;44.8;19.0;34.1;42.2;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1874-07;75.3;37.9;34.1;42.2;75.3;37.9;34.1;42.2;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1874-08;47.1;55.2;34.1;42.2;47.1;55.2;34.1;42.2;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1874-09;5.5;41.3;34.1;42.2;5.5;41.3;34.1;42.2;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1874-10;6.6;50.8;34.1;42.2;6.6;50.8;34.1;42.2;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1874-11;26.7;21.5;29.0;26.7;26.7;21.5;29.0;26.7;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1874-12;42.2;6.6;27.4;23.6;42.2;6.6;27.4;23.6;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1875-01;16.2;8.2;25.6;20.9;16.2;8.2;25.6;20.9;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1875-02;29.1;6.8;24.1;17.9;29.1;6.8;24.1;17.9;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1875-03;34.7;21.7;23.1;15.1;34.7;21.7;23.1;15.1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1875-04;24.3;24.3;22.4;13.0;24.3;24.3;22.4;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1875-05;17.8;1.4;21.0;11.6;17.8;1.4;21.0;11.6;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1875-06;12.4;27.5;18.8;11.2;12.4;27.5;18.8;11.2;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1875-07;16.9;4.0;16.5;11.1;16.9;4.0;16.5;11.1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1875-08;24.3;0.1;14.4;11.2;24.3;0.1;14.4;11.2;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1875-09;1.2;2.8;12.9;11.6;1.2;2.8;12.9;11.6;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1875-10;17.0;4.3;11.4;11.7;17.0;4.3;11.4;11.7;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1875-11;8.7;20.9;10.3;12.2;8.7;20.9;10.3;12.2;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1875-12;0.1;16.4;9.4;12.5;0.1;16.4;9.4;12.5;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1876-01;3.7;20.2;8.6;12.8;3.7;20.2;8.6;12.8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1876-02;1.1;24.0;7.9;13.1;1.1;24.0;7.9;13.1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1876-03;37.3;13.8;7.1;13.3;37.3;13.8;7.1;13.3;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1876-04;1.8;2.1;6.3;13.4;1.8;2.1;6.3;13.4;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1876-05;0.0;8.5;5.4;13.2;0.0;8.5;5.4;13.2;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
