1749 01 01 1749.042   96.7  -1.0    -1
1749 02 01 1749.123  104.3  -1.0    -1
1749 03 01 1749.204  116.7  -1.0    -1
1749 04 01 1749.288   92.8  -1.0    -1
1749 05 01 1749.371  141.7  -1.0    -1
1749 06 01 1749.455  139.2  -1.0    -1
1749 07 01 1749.538  158.0  -1.0    -1
1749 08 01 1749.623  110.5  -1.0    -1
1749 09 01 1749.707  126.5  -1.0    -1
1749 10 01 1749.790  125.8  -1.0    -1
1749 11 01 1749.874  264.3  -1.0    -1
1749 12 01 1749.958  142.0  -1.0    -1
1750 01 01 1750.042  122.2  -1.0    -1
1750 02 01 1750.123  126.5  -1.0    -1
1750 03 01 1750.204  148.7  -1.0    -1
1750 04 01 1750.288  147.2  -1.0    -1
1750 05 01 1750.371  150.0  -1.0    -1
1750 06 01 1750.455  166.7  -1.0    -1
1750 07 01 1750.538  142.3  -1.0    -1
1750 08 01 1750.623  171.7  -1.0    -1
1750 09 01 1750.707  152.0  -1.0    -1
1750 10 01 1750.790  109.5  -1.0    -1
1750 11 01 1750.874  105.5  -1.0    -1
1750 12 01 1750.958  125.7  -1.0    -1
1751 01 01 1751.042  116.7  -1.0    -1
1751 02 01 1751.123   72.5  -1.0    -1
1751 03 01 1751.204   75.5  -1.0    -1
1751 04 01 1751.288   94.0  -1.0    -1
1751 05 01 1751.371  101.2  -1.0    -1
1751 06 01 1751.455   84.5  -1.0    -1
1751 07 01 1751.538  110.5  -1.0    -1
1751 08 01 1751.623   99.7  -1.0    -1
1751 09 01 1751.707   39.2  -1.0    -1
1751 10 01 1751.790   38.7  -1.0    -1
1751 11 01 1751.874   47.5  -1.0    -1
1751 12 01 1751.958   73.3  -1.0    -1
1752 01 01 1752.042   58.3  -1.0    -1
1752 02 01 1752.124   83.3  -1.0    -1
1752 03 01 1752.206  118.3  -1.0    -1
1752 04 01 1752.290   98.8  -1.0    -1
1752 05 01 1752.373   99.5  -1.0    -1
1752 06 01 1752.456   66.0  -1.0    -1
1752 07 01 1752.540  130.7  -1.0    -1
1752 08 01 1752.624   48.8  -1.0    -1
1752 09 01 1752.708   45.2  -1.0    -1
1752 10 01 1752.791   77.7  -1.0    -1
1752 11 01 1752.874   62.7  -1.0    -1
1752 12 01 1752.958   66.7  -1.0    -1
1753 01 01 1753.042   73.3  -1.0    -1
1753 02 01 1753.123   53.3  -1.0    -1
1753 03 01 1753.204   76.2  -1.0    -1
1753 04 01 1753.288   63.3  -1.0    -1
1753 05 01 1753.371   60.0  -1.0    -1
1753 06 01 1753.455   52.8  -1.0    -1
1753 07 01 1753.538   36.7  -1.0    -1
1753 08 01 1753.623   65.0  -1.0    -1
1753 09 01 1753.707   46.7  -1.0    -1
1753 10 01 1753.790   41.7  -1.0    -1
1753 11 01 1753.874   33.3  -1.0    -1
1753 12 01 1753.958   11.2  -1.0    -1
1754 01 01 1754.042    0.0  -1.0    -1
1754 02 01 1754.123    5.0  -1.0    -1
